symbol,curr_id,industry,sector,employees,equity_type,isin,description
ICI,995123,Construction & Engineering,Industrials,-,ORD,VN000000ICI6,"Industrial Construction and Investment Joint Stock Company (ICIC) is a Vietnam-based company operating in the construction industry, which is engaged in the construction of various residential, commercial and industrial infrastructures. Besides, the Company partakes in the manufacture and commerce of construction materials, the erection of industrial machinery and equipment, as well as the provision of architectural and engineering services for construction projects. ICIC also operates an academic institution that provides continuing education and training courses."
GTH,995121,Construction & Engineering,Industrials,-,ORD,VN000000GTH6,"Thua Thien Hue Construction Transportation Joint Stock Company is a Vietnam-based company operating in the construction industry, with major undertaking as the construction of civil, industrial and residential infrastructures in the North Central Coast region of Vietnam, especially in Thua Thien - Hue and Quang Tri provinces. In order to support its construction activities, the Company is engaged in the production and commerce of construction materials, such as cement, bricks, concrete blocks and stones; the provision of mechanical services, as well as the leasing of construction machinery and equipment. Besides, it also partakes in the retail of petroleum products."
HKT,995122,Food Products,Consumer Staples,-,ORD,VN000000HKT8,"Ego Viet Nam Investment Joint Stock Company, formerly Hiep Khanh Tea Joint-Stock Company, is a Vietnam-based company primarily engaged in the food processing sector. The Company's main business activity is the production of tea and dried fruits, such as prunes and apricots."
FTS,995120,Capital Markets,Financial,152,ORD,VN000000FTS5,"FPT Securities Joint Stock Company (FPTS) is a Vietnam-based company primarily engaged in financial sector. Its leading business activities include the provision of advances for the sale of securities, loans for margin trading activities and securities brokerage services, as well as the equity investment on its own account. The Company is also involved in money lending, securities custody, investment consultation, auction agency and guaranteed equity issuance, among others."
PIC,994861,Construction & Engineering,Industrials,-,ORD,VN000000PIC1,"PC3 - Investment Joint Stock Company (PC3-INVEST) is a Vietnam-based company operating in the energy industry. The Company is engaged in the management of the 14-megawatt (MW) Dak Pone hydropower plant located in Kon Plong district, Kon Tum province. The electricity output of the power plant is directly transmitted into the national grid system. Besides, the Company partakes in the development of other hydropower plants in the central region of Vietnam."
LKW,994860,Water Utilities,Utilities,-,ORD,VN000000LKW4,"Long Khanh Water Supply Joint Stock Company is a Vietnam-based company operating in the water utility industry. The Company is engaged in the construction and management of water supply systems, as well as the distribution of fresh water for household usage and manufacturing activities in Long Khanh town and other areas in Dong Nai province. It is also involved in the provision of engineering, designing, supervising and consulting services for water supply and sewage system construction. Other business activities of the Company include the installation of household water meters, together with the manufacture of bottled water under the brand name Tirsty."
KCE,994858,Construction Materials,Materials,-,ORD,VN000000KCE1,"Khanh Hoa Power Centrifugal Concrete Joint Stock Company (KPCECO) is a Vietnam-based company engaged in the manufacture and commerce of concrete products, such as concrete piles, sewer pipes, power poles and precast concrete components. KPCECO's products are mostly supplied to construction projects in the Central Highlands and South Central Coast regions of Vietnam, including Khanh Hoa, Ninh Thuan, Binh Thuan and Dak Lak provinces, among others. Other regular business activities of the Company include the production of structural steel and other construction materials, as well as the provision of ground freight transportation services."
KTL,994859,Household Durables,Consumer Discretionary,-,ORD,VN000000KTL0,Thang Long Metal Wares Joint Stock Company is a Vietnam-based company primarily engaged in manufacturing components for motors and engines of motors.
IST,994857,Misc. Transportation,Transportation,-,ORD,VN000000IST9,"Tan Cang Song Than ICD Joint Stock Company (ICDST) is a Vietnam-based company primarily engaged in real estate operations sector. The Company's leading business activities include the leasing of warehouses and storage spaces; the management of warehousing and storage facilities; the provision of cargo handling and logistics services, such as goods checking, customs clearing, as well as freight lifting and slotting; the rental of office spaces, and the operation of food canteens, parking lots and garages."
ISH,994856,Independent Power and Renewable Electricity Producers,Utilities,94,ORD,VN000000ISH4,"Idico Srok Phu Mieng Hydropower Joint Stock Company (IDICO - SHP) is a Vietnam-based company operating in the utilities industry. The Company is mainly engaged in the management of the 55-megawatt (MW) Srok Phu Mieng hydropower plant located in Bu Gia Map district, Binh Phuoc province. The electricity output of the plant is directly transmitted to the national grid. Besides, IDICO - SHP operates Binh Phuoc IDICO water plant that supplies fresh water for local household consumption and industrial usage. Other regular business activities of the Company include the construction of electric power transmission lines and related structures, as well as the provision of engineering and technical consulting services for such construction projects."
IME,994855,Machinery,Industrials,-,ORD,VN000000IME4,"Mechanical and Industrial Construction Joint Stock Company (IMECO) is a Vietnam-based company operating in the manufacture industry, with major products as industrial machinery and equipment. The Company provides a wide range of products for heavy industries, which include power boilers, heat exchangers, automated conveyors, structural metal and wind turbine gearbox test stands. Apart from manufacturing, the Company also provides various services, such as machinery quality assessment, as well as industrial and commercial infrastructure construction."
IHK,994854,Commercial Services & Supplies,Industrials,-,ORD,VN000000IHK1,"Aviation Printing Joint Stock Company (AVIPRINT) is a Vietnam-based company, which is engaged in printing activities that support airline operations. The Company partakes in the commercial lithographic and flexographic printing of tickets, vouchers, bills, containers, posters and magazines, which are supplied to local airlines. Besides, AVIPRINT is engaged in the manufacture of paper packaging, along with other paper products, such as tissue paper, paper cups and napkins. In addition, the Company distributes equipment and supplies for the printing industry."
IFS,994853,Food Products,Consumer Staples,571,ORD,VN000000IFS8,"Interfood Shareholding Company is a Vietnam-based company engaged in the beverage industry. The Company is involved in the manufacture of non-alcoholic drinks, such as fruit juices, soft drinks and pure drinking bottled water. It also manufactures agricultural products into canned, frozen, salted and dried food. Other products include biscuits, cookies, crackers and wafers. It is also involved in the production of polyethylene terephthalate (PET) bottles and other packaging for food and beverages. It is a subsidiary of Malaysia-based Trade Ocean Holdings Sdn. Bhd. The Company has one subsidiary, AVA Food Industries Limited, which was engaged in food processing."
ICN,994852,Household Durables,Consumer Discretionary,120,ORD,VN000000ICN6,"IDICO Investment Construction Oil and Natural Gas Joint Stock Company (IDICO CONAC) is a Vietnam-based company operating in the construction industry. The Company is engaged in the construction of various residential and commercial buildings, as well as civil and industrial infrastructures in the south and southeast regions of Vietnam. Other regular business activities of the Company include the leasing of real estate properties, the trading of construction materials, as well as the providing of engineering and architectural designing services for construction projects. Besides, it operates two hotels, namely Thuy Duong and Long Hai."
HU4,994850,Real Estate Management & Development,Real Estate,50,ORD,VN000000HU43,"HUD4 Investment and Construction Joint Stock Company (HUD4) is a Vietnam-based company operating in the construction industry, with major undertakings as the construction and development of various residential and commercial buildings for lease and for sale, mostly in the northern and central regions of Vietnam. Other regular business activities of the Company include the construction of civil infrastructures, the wholesale of construction materials, the manufacture of concrete pipes and blocks, as well as the leasing of construction machinery and equipment. Besides, the Company provides architectural, safety consulting and other services for construction projects."
HRT,994849,Misc. Transportation,Transportation,-,ORD,VN000000HRT3,"Hanoi Railway Transport Joint Stock Company (Haraco) is a Vietnam-based company primarily engaged in rail transportation. Its leading business activity is the provision of rail passenger and freight transportation services. The Company is also involved in the delivery of luggage, as well as the consultation, design, manufacture and repair of rail transport vehicles, equipment, and supplies."
HPT,994848,IT Services,Information Technology,-,ORD,VN000000HPT7,"HPT Vietnam Corporation is a Vietnam-based company active in the information technology (IT) industry, with major undertaking as the provision of software integration services to domestic and foreign clients. Regular business activities of the Company include system integration design, customized software creation and maintenance, as well as Web development, and the Company's products specialize in business management. Besides, the Company is involved in the provision of computer systems facilities management services, system solutions, network solutions and technical support, among others. In addition, it partakes in computer and office equipment trading and repairing."
HNT,994847,"Oil, Gas & Consumable Fuels",Energy,757,ORD,VN000000HNT2,"Ha Noi Tram Joint Stock Company is a Vietnam-based company primarily engaged in ground passenger transportation sector. The Company's leading business activities include the operation of urban bus services in Hanoi city and the vicinity; the provision of parking spaces for vehicles in bus terminals; the rental of bumper cars at Thu Le park, and the construction and maintenance of bus transport infrastructure, including the cleaning of bus stop signs and the installation of bus information boards."
HNB,994846,Misc. Transportation,Transportation,-,ORD,VN000000HNB0,"Ha Noi Transport Station Joint Stock Company (HNB) is a Vietnam-based company operating in the transportation industry, with major undertakings as the management of various bus terminals in Hanoi. Besides, the Company partakes in the arrangement of bus transport systems, the wholesale of transportation equipment and supplies, as well as the provision of general automotive reparation services and parcel delivery services. Other regular business activities of the Company include the operation of hotels, the leasing of offices, together with the provision of labor export services."
HJC,994844,Commercial Services & Supplies,Industrials,3,ORD,VN000000HJC6,"Hoa Viet Joint Stock Company is a Vietnam-based company, which is mainly engaged in the farming of tobacco, as well as the performing of post-harvest activities, such as tobacco grading, stemming and redrying. Apart from tobacco material processing, the Company partakes in the wholesale of farm supplies, such as tobacco seeds, fertilizers and pesticides, together with agricultural utensils. Besides, it is involved in the leasing of warehouses."
HKP,994845,Containers & Packaging,Materials,-,ORD,VN000000HKP6,"Ha Tien Packaging Joint Stock Company (HAKIPACK) is a Vietnam-based company, which is mainly engaged in the manufacture and wholesale of plastic and paper packaging, such as bags, pouches, films and sheets. Besides, the Company partakes in the production and trading of other plastic products, the operation of thread mills, as well as the distribution of industrial supplies."
HEM,994842,Electrical Equipment,Industrials,297,ORD,VN000000HEM6,"Hanoi Electromechanical Manufacturing Joint Stock Company (HEM) is a Vietnam-based company primarily engaged in heavy electrical equipment sector. The Company's leading business activities include the manufacture of electrical instrument and apparatuses, such as transformers, circuit breakers, switchboards, electric panels, electric motors and electric meters, among others; the repair and maintenance of electric equipment and instrument; the construction of power grids and related structures, and the operation of colleges and professional schools."
HFC,994843,Retail (Specialty),Services,180,ORD,VN000000HFC4,"HFC Petroleum Corporation, formerly Hanoi Fuel Joint Stock Company, is a Vietnam-based company engaged in the commerce of petroleum products, such as gasoline, diesel oil, fuel oil and lubricants. The Company has established and managed a system of gas stations and wholesale stores in Hanoi, Vietnam. In order to utilize the unused room of its gas stations, the Company has also engaged in the provision of space leasing and car washing services."
HCI,994841,Construction Services,Capital Goods,2120,ORD,VN000000HCI8,"Hanoi Construction - Investment Joint Stock Company (HANCIC) is a real estate company, which mainly operates in Hanoi. The Company is engaged in the development and management of various residential and commercial buildings for lease and for sale. Besides, the Company acts as a construction contractor, which directly builds civil, commercial and industrial infrastructures, such as factories, schools, highways and streets, among others. Other business activities of the Company include the provision of architectural and engineering services, as well as the manufacture and commerce of construction materials, such as clay bricks and concrete pipes."
HBD,994840,Containers & Packaging,Materials,-,ORD,VN000000HBD1,"Binh Duong PP Pack Making Joint Stock Company (HAIPAC-BD) is a Vietnam-based company operating in the manufacture industry, with major undertakings as the production and commerce of plastic and paper packaging and containers. In order to support these business activities, the Company also engages in the design and printing of its products. Besides, HAIPAC-BD provides other services, such as packaging machinery trading and warehouse leasing."
VTH,994756,Electrical Equipment,Industrials,68,ORD,VN000000VTH5,"Viet Thai Electric Cable Corp (VITHAICO) is a Vietnam-based company mainly engaged in the aluminum and copper drawing and extruding business. The Company's products include electric wires, duplex cables, control cables, twisted cables, bare aluminum wire and steel core, and 9.5 millimeter (mm) aluminum wires in which 9.5 mm aluminum wires is the product category that generates the most revenue."
NVL,994755,Real Estate Management & Development,Real Estate,1728,ORD,VN000000NVL0,"No Va Land Investment Group Corp is a Vietnam-based company primarily engaged in the residential real estate sector. Its main business activities include the development of villas, shophouses and residential buildings, together with office, officetel and commercial properties for sale and for lease. The Company is also engaged in the leasing of vacant land and parking lots, as well as the provision of real estate related services, such as project planning and consultancy on properties trading on real estate exchanges."
TNP,994642,Transportation Infrastructure,Industrials,-,ORD,VN000000TNP5,"Thi Nai Port Co. operates wharf and provides water, electricity, preparation services, and mediating transportation. The company is based in Quy Nhon, Vietnam."
SEA,994641,Food Products,Consumer Staples,12000,ORD,VN000000SEA8,"Viet Nam Seaproducts Joint Stock Corporation (Seaprodex) is a Vietnam-based company primarily engaged in food processing and aquaculture sector. Its leading business activities include the processing of seafood, such as prawn, squid, pangasius, cuttlefish, mackerel, barramundi, and swordfish, among others; the farming of acipenser; the trading of industrial supplies and rolled steel, and the production of livestock feeds. The Company, via its subsidiaries, is also involved in ship building, ship parts and components manufacturing, as well as offices and manufacturing plants leasing."
MLS,994638,Food Products,Consumer Staples,-,ORD,VN000000MLS8,"Mitraco Livestock Joint Stock Company (MTL) is a Vietnam-based company primarily engaged in livestock farming sector. The Company's leading business activities include the breeding and raising of hogs and pigs, the supply of breeding sows and boars, as well as the provision of pig semen."
SB1,994639,Beverages,Consumer Staples,-,ORD,VN000000SB19,"Saigon - Nghetinh Beer Joint Stock Company (SNB) is a Vietnam-based company primarily engaged in brewing sector. The Company's leading business activities include the manufacture and distribution of draft, canned and bottled beer under Vida and Sai Gon brands. SNB is also involved in the production of bottled drinking water."
G36,994637,Construction Services,Capital Goods,-,ORD,VN000000G367,"36 Corporation is a Vietnam-based company primarily engaged in construction sector. Its leading business activities include the construction of commercial and residential properties, traffic infrastructure, as well as hydro power structures. The Company is also involved in the development of residential real estates for sale; the investment in highways construction under Build-Operate-Transfer (BOT) model; the manufacture of construction materials, such as ready-mix concrete and stones, and the disposal of bombs and mines."
ANT,994636,Food Products,Consumer Staples,-,ORD,VN000000ANT7,"An Giang Fruit-Vegetables & Foodstuff Joint Stock Company (Antesco) is a Vietnam-based company primarily engaged in fruits and vegetables processing sector. The Company's leading business activities include the canning of fruits and vegetables, such as baby corn, pineapple and rambutan; the processing of frozen fruits and vegetables, comprising green soybean, lemongrass, chili, lime, as well as dragon fruit, and the manufacture of other specialty products, namely canned henicorhynchus fish, banana, lotus roots, taro, papaya, corn silk tea and spring rolls, among others."
VPR,994447,Commercial Services & Supplies,Industrials,-,ORD,VN000000VPR2,"Vinaprint Corp, formerly Vina Printing and Trading Corp, is a Vietnam-based company primarily engaged in the commercial printing sector. Its main business activity is the provision of commercial printing services of various documents, such as invoices, checkbooks, tickets, barcodes, business forms and bills, among others. The Company is also involved in the operation of warehousing and storage facilities and the leasing of self-storage units, office space and other vacant properties. In addition, the Company is engaged in the trading of printing paper comprising carbonless paper and thermal paper."
VCP,994446,Professional Services,Industrials,-,ORD,VN000000VCP4,"VCP Power & Construction JSC, formerly Vinaconex Power Development and Construction Investment JSC, is a Vietnam-based company active in the utilities industry. It is a renewable independent power producer. The Company's primary business activity is the generation of electricity via the operation of three hydro electric power plants at Thuong Xuan District, Thanh Hoa Province, namely Cua Dat, Bai Thuong and Xuan Minh. The Company also acts as a contractor for the construction of industrial and civil structures."
QNS,994444,Food Products,Consumer Staples,3500,ORD,VN000000QNS5,"Quang Ngai Sugar JSC is a Vietnam-based company operating in the food processing industry. The Company is engaged in the manufacturing of cane sugar along with biomass electricity generation. It also manufactures soy milk with various flavors and soy milk derived products; bottled and canned beer; bottled carbonated water, mineral water, energy drinks and soft drinks; and cookies, crackers, pie and candy. In addition, the Company is involved in the nursery and production of sugarcane saplings, the manufacture of farm equipment and machinery and the trading of confectionery and beverages."
SZE,994445,Trucking,Transportation,-,ORD,VN000000SZE5,"Sonadezi Environment Joint Stock Company (SZE), formerly Dong Nai Urban Environment Service Company Limited, is a Vietnam-based company primarily engaged in environmental services sector. Its leading business activities include the collection of solid wastes and medical wastes; the dumping and treatment of wastes, and the provision of support operations to road transport, such as street cleaning, lighting system management and public greenery maintenance. The Company is also involved in the repair of road and bridges, the rodding of sewer and drainage systems, the operation of public toilets, the organization of flea markets, the trading of potted flowers, as well as the delivery of cremation and grave construction services."
PVM,994442,Trading Companies & Distributors,Industrials,145,ORD,VN000000PVM3,"Petrovietnam Machinery - Technology Joint Stock Company (PVMachino) is a Vietnam-based company primarily engaged in electric equipment commercial sector. The Company's leading business activities include the wholesale of electric equipment and machinery, the installation of electrical systems of manufacturing plants, petroleum storage terminals, liquefied petroleum gas tanks, intelligent traffic management systems and commercial buildings, as well as the trading of real estate properties."
PVP,994443,Air Freight & Logistics,Industrials,9800,ORD,VN000000PVP6,"Pacific Petroleum Transportation Joint Stock Company (PV Trans Pacific) is a Vietnam-based company primarily engaged in maritime oil transportation. The Company's leading business activities include the transport of crude oil by its own tankers; the management and operation of commissioned seaborne oil tankers on contract basis; the provision of support services to maritime oil transport, including logistics, fuel refilling and drinking water supply, and the rental of floating oil storage tanks."
NTC,994441,Real Estate Management & Development,Real Estate,-,ORD,VN000000NTC3,"Nam Tan Uyen Joint Stock Corporation (NTC) is a Vietnam-based company primarily engaged in the development of industrial zones. The Company's leading business activities include the leasing of manufacturing facilities and vacant lots in industrial zones; the construction of industrial properties, traffic and water infrastructure, and the provision of waste and sewer collection and treatment services."
HNP,994440,Chemicals,Materials,230,ORD,VN000000HNP0,"Hanel Plastics Joint Stock Company is a Vietnam-based company primarily engaged in plastics sector. The Company's leading business activities are the manufacture of laminated products, such as plates, trays, forks and cups, among others; styrofoam products, including coolers and cushioning materials in packaging, and other plastic filters, as well as the supply of plastic raw materials and resins."
DTK,994438,Independent Power and Renewable Electricity Producers,Utilities,1500,ORD,VN000000DTK7,"Vinacomin Power Holding Corp is a Vietnam-based company active in the fossil fuel electric utilities industry. The Company is involved in the generation, transmission, distribution of electricity with the management and operation of thermal power plants, including Na Duong 1, Cao Ngan, Son Dong, Cam Pha 1 and Cam Pha 2, Mao Khe and Nong Son, as well as Dong Nai 5 Hydropower Plant. Its thermal power plants uses coal to generate electricity. The Company is also engaged in coal surface mining activities."
HEC,994439,,,,,,
DOC,994437,Distributors,Consumer Discretionary,47,ORD,VN000000DOC5,"Dong Nai Joint Stock Company Of Agricultural Material (Docam) is a Vietnam-based company primarily engaged in agricultural chemicals commercial sector. Its leading business activities include the wholesale of fertilizers; the distribution of agricultural products, such as potatoes, wheat, corns and coffee, among others; the manufacture of nitrogenous, phosphorus, potassium, as well as organic fertilizers; the supply of agricultural raw materials, comprising seedlings, saplings and plant protection chemicals; the leasing of storage facilities, and the trading of scraps."
SAB,994073,Beverages,Consumer Staples,8388,ORD,VN000000SAB4,"Saigon Beer - Alcohol - Beverage Corporation, together with its subsidiaries, produces and sells beer, alcohol, beverages, and related products and packaging materials in Vietnam. The company also produces and trades in canned food and accessories; soft drinks; yeasty malt, mineral water, and bottled purified water; tin lid rings and metal packaging products; and packaging products for the food and beverage industry. In addition, it offers transportation and warehousing services; provides cargo transportation services by car, road, and waterway; manufactures equipment used in food manufacturing; and manufactures, installs, and maintains machinery systems and equipment, as well as constructs and offers real estate services. Further, the company is involved in the trading and wholesale of beer, alcohol, beverages, and non-alcohol drinks; structural steel construction business; and trading of packaging products. It also exports its products to 35 countries. The company was founded in 1875 and is headquartered in Ho Chi Minh City, Vietnam. Saigon Beer - Alcohol - Beverage Corporation is a subsidiary of Vietnam Beverage Company Limited."
RCC,994072,Industrial Conglomerates,Industrials,800,ORD,VN000000RCC0,"Railway Construction Corporation Joint Stock Company (RCC) is a Vietnam-based company primarily engaged in railway construction sector. Its leading business activities include the construction of railway infrastructure and related facilities; the wholesale of rail tracks on behalf of Vietnam Railways Corporation; the manufacture of structural steel, precast concrete and other construction supplies; the arrangement of goods importation; the trading of scrap materials, and the leasing of office spaces. The Company, along with its subsidiaries, is also involved in the construction of roads and other ground transport infrastructures, as well as the provision of design and construction supervision services to architectural projects."
NS2,994071,Water Utilities,Utilities,-,ORD,VN000000NS23,"Hanoi Water Supply Number 2 Joint Stock Company (HA Water No 2) is a Vietnam-based utilities company. The Company's primary business activities include the supply of water to consumers in Long Bien, Gia Lam, Dong Anh, Soc Son and Me Linh district, Hanoi city, as well as the design and construction of water supply infrastructure."
HES,994070,,,,,,
CMF,994069,Food Products,Consumer Staples,-,ORD,VN000000CMF4,"Cholimex Food JSC produces and sells sauce. Its products include sauces and spices, such as chili sauce, sweet and sour chili sauce, plum chili sauce, sweet chili sauce, tomato sauce, pickled soybean sauce, seasoning, and satay; dipping sauce, such as fish, soye, and dipping sauces; and frozen food, such as breaded and battered, pastry, spring rolls, and dim sum. The company was founded in 1983 and is based in Ho Chi Minh City, Vietnam."
AFX,994068,Food Products,Consumer Staples,915,ORD,VN000000AFX5,"Angiang Agriculture and Foods Import - Export Joint Stock Company engages in the production and distribution of agriculture products and fishery products, foodstuff, animal feed, aquatic feed, and veterinary medicines. The company was founded in 1990 and is headquartered at Long Xuyên, Vietnam."
VCW,993312,Beverages,Consumer Staples,154,ORD,VN000000VCW0,"Song Da Water Investment Joint Stock Company (Viwasupco), formerly Vinaconex Water Supply Joint Stock Company, is a Vietnam-based utilities company. The Company is primarily engaged in the supply of clean water to the southwestern region of Hanoi, including Thanh Xuan, Hoang Mai, Cau Giay and Ha Dong districts."
HLR,994002,,,,,,
BSG,993311,Misc. Transportation,Transportation,-,ORD,VN000000BSG1,"Saigon Passenger Transport Joint Stock Company (Satranco) is a Vietnam-based company primarily engaged in land transport sector. Its leading business activities include the provision of urban and intercity bus transportation, employee bus services, chartered busses, as well as scenic and sightseeing transportation. The Company is also involved in the sale of air tickets, the operation of travel tours, the assembly of buses on purchased chassis, the delivery of bus driver training courses and the leasing of office spaces."
ACV,993310,Transportation Infrastructure,Industrials,8400,ORD,VN000000ACV6,"Airports Corp of Viet Nam (ACV) is a Vietnam-based company primarily engaged in the airport operation sector. Its main business activities include the development, operation and maintenance of airport infrastructures and facilities, such as runways, apron areas, taxiways, aircraft hangars, lighting systems, air traffic control towers and meteorological offices, among others. The Company provides airport ground services, including luggage handling, freight loading and unloading, passengers and baggage check-ins, as well as transportation from terminals to aircrafts. It also offers aircraft towing, marshalling, guarding and security scanning services. The Company is also engaged in the leasing of office, retail, advertising and parking spaces, along with the operation of its own souvenir and liquor shops, restaurants and convenience stores."
PC1,993259,Construction & Engineering,Industrials,1395,ORD,VN000000PC11,"Power Construction Joint Stock Company No 1 (PCC 1) is a Vietnam-based company primarily engaged in power transmission structures construction. Its leading business activities include the construction of electric power transmission lines, towers, and hydro power generation plants; the manufacture of galvanized structural steels; the mining of iron ores, and the wholesale of construction materials. The Company, via its subsidiaries, is also involved in the development of residential and commercial properties, the manufacture of motorized vehicles, as well as the operation of storage and warehousing facilitites."
DND,993211,Construction Materials,Materials,-,ORD,VN000000DND5,"Dong Nai Material & Building Investment Joint Stock Company (DNC) is a Vietnam-based company primarily engaged in construction materials sector. Its leading business activities are the production and distribution of ready-mix concrete; the mining and quarrying of dimension stone, and the manufacture of clay bricks. The Company is also involved in the real estate business segment. DNC's products are mainly distributed in Dong Nai province and Ho Chi Minh city."
VSN,993053,Food Products,Consumer Staples,5000,ORD,VN000000VSN5,"Vissan Joint Stock Company (Vissan) is a Vietnam-based company primarily engaged in food processing sector. Its leading business activities include the slaughtering and processing of pork, beef and chicken meat; the production of food made from meat byproducts, such as sausages, canned meats and seafood, spring rolls, salted shredded pork, and the processing of frozen food, including dumplings, baked rolls, roasted cinnamon pork, ham and bacon, among others. The Company is also involved in the distribution of other agricultural products, sugar, milk and seasoning."
TW3,993052,Pharmaceuticals,Healthcare,-,ORD,VN000000TW39,"Central Pharmaceutical N.3 Joint Stock Company (Ceteco US) is a Vietnam-based company primarily engaged in pharmaceutical sector. The Company manufactures and distributes a wide range of medical drugs, such as fever and pain relievers, antibiotics, gastrointestinal medicines, vitamins and minerals, among others."
MVB,993050,"Oil, Gas & Consumable Fuels",Energy,1997,ORD,VN000000MVB3,"Vinacomin - Viet Bac Mining Industry Holding Corp (VVMI) is a Vietnam-based company primarily engaged in the coal industry. The Company is engaged in both the underground and surface mining of coal, as well as the provision of support services. It is also involved in the trading of construction materials and office leasing. Its coal are sold to thermal power plants and cement manufacturers. Through its subsidiaries, it is engaged in the production of cement and other construction materials, such as stones and clay. The Company is also involved in the manufacturing and maintenance of mechanical equipment and machinery, such as conveyor belts, precast structural steels, steel tracks, steel nets, hoisting and lifting systems and hydraulic machines, among others. Other activities include cement packaging manufacturing; industrial supplies trading; the construction of industrial, commercial and residential properties; hotel operations and tour operations."
SPB,993051,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,705,ORD,VN000000SPB2,"Phu Bai Spinning Mill Joint Stock Company (Phu Bai SJSC) is a Vietnam-based company primarily engaged in the production of yarn. Its leading products include single and twisted yarns made from various materials, such as cotton, viscose, polyester, chief value cotton (CVC), terry rayon (TR) and modal. The Company is also involved in the trading of equipment, machinery and supplies used in yarn milling sector."
GTS,993047,Construction Services,Capital Goods,-,ORD,VN000000GTS3,"Saigon Traffic Construction Joint Stock Company (GTSAIGON) is a Vietnam-based company primarily engaged in construction sector. Its leading business activity is the construction of infrastructures, such as roads, bridges, water supply and irrigation systems, drainage and sewer systems, post offices, street lightings and greenery. The Company is also involved in the provision of supporting operations to road transportation, including the repair and maintenance of traffic signals and road surface marking, as well as the manufacture of asphalt paving mixtures and other construction materials."
L45,993049,Construction & Engineering,Industrials,1500,ORD,VN000000L458,"Lilama 45.1 Joint Stock Company is a Vietnam-based company primarily engaged in industrial construction and machinery installation. Its leading business activities are the construction of structures and installation of equipment and machinery for cement factories, hydro and thermal power plants, oil refineries, electrical stations and other industrial facilities. The Company is also involved in the manufacture and distribution of metal supplies for construction businesses, as well as the production, installation, repair and maintenance of hoisting equipment, hydraulic machinery, elevators and fabricated structural steels."
TTH,992926,Trading Companies & Distributors,Industrials,21,ORD,VN000000TTH9,"Tien Thanh Service and Trading Joint Stock Company (Tien Thanh ST) is a Vietnam-based company primarily engaged in trading activities. Its leading businesses are the distribution of men's apparel, footwear, women's handbags and accessories, among others; the wholesale of steel, copper and coal, and the production of handicrafts and embroideries. The Company is also involved in the development of residential and commercial complexes."
BHN,993046,Beverages,Consumer Staples,551,ORD,VN000000BHN0,"Hanoi Beer Alcohol and Beverage Joint Stock Corporation (Habeco) is a Vietnam-based brewer. Its leading business activities are the production and distribution of beer, malt and alcohol. The Company, via its subsidiaries, is also involved in the manufacture of packaging, such as aluminum cans and beverage containers."
DAH,992674,"Hotels, Restaurants & Leisure",Consumer Discretionary,-,ORD,VN000000DAH3,"Dong A Hotel Group Joint Stock Company, formerly Dong A Construction Investment and Trading Joint Stock Company, is a Vietnam-based company primarily engaged in hospitality sector. Its leading business activities are the operation of accommodation facilities, such as resorts and hotels; the leasing of office spaces, exhibition and convention venues and tennis courts; the management of restaurants, bars and drinking places, and the offering of travel tours. The Company is also involved in the distribution of goods via its supermarkets and minimarts, the wholesale of construction materials, the construction of commercial and institutional properties, as well as the provision of architectural services."
SHX,992676,Air Freight & Logistics,Industrials,-,ORD,VN000000SHX3,"Saigon Transport Agency Joint Stock Company operates as a transport company in Vietnam and internationally. It transports and handles various types of cargo, such as heavy and extra-sized machinery, plants, equipment, etc. The company was founded in 1976 and is headquartered in Ho Chi Minh City, Vietnam."
L63,991209,Machinery,Industrials,1384,ORD,VN000000L631,"Lilama 69-3 Joint Stock Company is a Vietnam-based company primarily engaged in machinery manufacture and installation. Its leading business activities include the construction and installation of industrial machinery used in cement and thermal plants, such as clinker crushers, kilns, furnaces, industrial blowers and cement dust filters, among others. The Company is also involved in the manufacture of hoisting and lifting equipment, material handling machinery and mechanical supplies, such as balls, bearings, fittings and anvils."
TCH,991210,Machinery,Industrials,235,ORD,VN000000TCH5,"Hoang Huy Investment Financial Services JSC is a Vietnam-based company active in the real estate industry. The Company is involved in real estate development with the construction of residential, commercial and industrial properties for sale, for lease and for rent. In addition, the Company is engaged in the wholesale trading of tractors, trailers and other motor vehicle supplies and new parts imported from the United States and China. It is also involved in the manufacture and assembly of trucks, the distribution of new cars, the wholesaling of industrial machinery and equipment, as well as the provision of repair and maintenance services for trucking vehicles."
VLB,991142,Construction Materials,Materials,-,ORD,VN000000VLB5,"Bien Hoa Building Materials Production and Construction Joint Stock Company (BBCC) is a Vietnam-based company primarily engaged in construction materials sector. Its leading business activities are the mining and quarrying of dimension stones, the wholesale of construction materials, as well as the leasing of specialized vehicles, such as bulldozers, road rollers and asphalt pavers, among others. The Company also partakes in the surveying, design, construction and repair of roads, drainage systems and other structures."
HND,991208,Electric Utilities,Utilities,835,ORD,VN000000HND6,"Hai Phong Thermal Power Joint Stock Company (Hai Phong TP) is a Vietnam-based independent power producer. The Company's primary business activity is the generation of thermal power. Hai Phong TP is also involved in the wholesale of coal ash, the waste produced by coal fueled power plants."
